CountryCode,Year,AIR_TRANS_FREIGHT,ALT_NUCL_EN_PERC,CEREAL_YIELD,CO2_EM_PC,CO2_EM_TOTAL,COMB_REN_WASTE_PERC,ELEC_PROD_COAL_PERC,ELEC_PROD_HYDRO_PERC,ELEC_PROD_NAT_GAS_PERC,ELEC_PROD_NUCL_PERC,ELEC_PROD_OIL_PERC,ELEC_PROD_RENW_SRC_PERC,EN_USE_PC,FOSSIL_FUEL_EN_CONS_PERC,FUEL_IMPORT_PERC,GDP_GROWTH_PERC,GDP_PC,METHANE_EM,NO2_EM,POP_GROWTH_PERC,POP_URBAN_AGG,URBAN_POP_GROWTH,URBAN_POP_TOTAL
123.0,1989.0,14.5,1.7002443735960302,3049.3,9.24560962440275,214141.799,0.940674074158336,36.413494878116296,18.0327220471714,34.6323713596393,0.0,10.921411715073,0.0,2987.0590616532,96.38813486397552,45.5596117207665,3.89732294341896,1817.90210089083,40031.1,25580.301,0.449148207465758,8.72712330976746,1.81837788937452,52.504
123.0,1990.0,12.8000001907,1.3294318800866298,3010.8,7.503163348933389,174087.158,0.945347493105498,28.770467586185497,17.744017167115,35.1008412508358,0.0,18.3846739958637,0.0,2683.17889511756,96.14829080945792,38.0791594300134,3.89732294341896,1680.70562287227,37405.8,22126.87,0.17417662808295,8.790425412472759,1.5230333652284598,53.217
123.0,1991.0,13.3999996185,1.96269610470962,3191.7,6.09919019284032,140288.419,1.34862546292067,27.486224319138103,25.681742161505603,36.0333080999243,0.0,10.7987254194321,0.0,2231.8061419089604,94.9832293800542,39.6436977442743,-12.9182107304506,1260.74904545125,32940.9,17595.166,-0.8686938312416479,8.94700722637624,0.4622047701607439,53.93
123.0,1992.0,11.0,1.64310459352994,2128.3,5.64376990301604,128645.694,1.46126518137731,34.1765845557708,21.5887074453363,35.9258234154442,0.0,8.20370882922779,0.0036903773410831,2052.96292702153,94.8198193770298,29.696192858124,-8.7672284522824,1102.10378473246,29566.8,18961.212,-0.9034629284532,9.040226927066447,-0.354263911265315,54.227
123.0,1993.0,15.1000003815,1.5823321302135398,2422.7,5.50437911408198,125297.723,2.1917712736017703,34.6239815415675,23.0153579926455,32.4410555916072,0.0,9.79522676472709,0.0018025812964164,2003.71567717833,94.6931386785522,25.883955629727694,1.52883449664077,1158.13251591344,27374.6,18152.019,-0.136109142211483,8.99000934838916,-0.418652306560022,54.074
123.0,1994.0,18.6000003815,1.61760682735545,2772.9,5.2415188754737,119140.83,2.71976717909024,35.7987521764365,23.661491584445702,30.0457051654092,0.0,10.4940510737086,0.0,1892.68150656411,94.4881075659474,23.715857792170603,3.93194272962506,1323.10432504932,28949.9,16080.568,-0.14537906455364,8.94081449573873,-0.4268739995651219,53.922
123.0,1995.0,17.8999996185,1.89002012075976,3085.1,5.55669007642741,126049.458,2.83169530155245,35.0960078291094,28.166233590929,26.9479971653224,0.0,9.784699490432962,0.0,2053.94209291284,93.15785780947728,21.3804929337017,6.23351148371351,1650.27648080037,28410.1,17136.056,-0.20231879638046,8.896949295701381,-0.486463349524142,53.769
123.0,1996.0,14.8999996185,2.59546518676881,2430.3,5.544352571846219,125407.733,5.28553103646237,33.8924205378973,25.680521597392,27.242053789731106,2.25916870415648,10.9258353708231,0.0,2109.77242852957,90.9544950183411,20.9297289576852,3.90770208816156,1633.01064354117,29276.9,17378.693,-0.2881294855308989,8.86081898212671,-0.5730860828162739,53.61600000000001
123.0,1997.0,12.5,5.39149506091323,3541.4,4.99355683507362,112624.571,7.39023556844309,30.239028487436105,30.6379925806677,17.645411912927802,9.44914957653811,12.009169174774302,0.019248267655911,1989.9941819576104,85.93158748490629,18.9372596430805,-4.84906273797031,1577.32335708773,27504.5,15001.396,-0.287897951541563,8.82497978848787,-0.5736690834411889,53.463
123.0,1998.0,12.1000003815,6.07605597669446,2642.7,4.435459288310519,99830.408,7.24900811069885,28.028263795424,35.290489008524,19.001420666965803,9.92036787797218,7.73889636608345,0.0205622850306565,1823.4591784797,85.23059120338591,12.1163437051665,-2.02981290571719,1852.46730900412,26116.1,12628.098,-0.206980241940766,8.7820979676678,-0.491693132612479,53.31100000000001
